run,design,loc,base_run,X1,X2,X3,dz_mm,center_gap_mm,sphere_pen_mm,lift_mm,surf_z_mm
266,5,16,26,278.6628,355.3432,688.3484,74.6834,2.0056,-1.0774,0.0000,603.8428
267,5,17,26,-205.2068,-44.6568,567.2786,-46.3864,2.0056,1.6501,1.3522,481.4208
268,5,18,26,556.6869,-444.6568,696.0199,82.3549,2.0056,0.8049,0.0000,611.5143
269,5,19,26,260.5862,-344.6568,670.4154,56.7504,2.0056,0.7042,0.0000,585.9098
270,5,20,26,-110.8354,355.3432,598.0917,-15.5733,2.0056,1.6501,0.2198,513.3663
271,5,21,26,377.7089,-44.6568,702.6031,88.9381,2.0056,-1.5787,0.0000,618.0974
272,5,22,26,312.7224,555.3432,685.0142,71.3492,2.0056,-0.8425,0.0000,600.5085
273,5,23,26,-77.2524,-244.6568,595.6218,-18.0432,2.0056,1.5968,0.0000,511.1162
274,5,24,26,-77.3130,555.3432,595.6008,-18.0642,2.0056,1.5586,0.0000,511.0952
275,5,25,26,657.1662,655.3432,722.9742,109.3092,2.0056,-1.5653,0.0000,638.4685
